iter	Logloss
0	0.6861375311
1	0.6805416023
2	0.6745161394
3	0.6684419388
4	0.6625685502
5	0.657263409
6	0.6530466784
7	0.6470294748
8	0.6414043614
9	0.636568388
10	0.6327092627
11	0.6277041803
12	0.6231534938
13	0.6185971019
14	0.614490143
15	0.6102111892
16	0.6079663938
17	0.6036524488
18	0.5989296758
19	0.5943619324
20	0.590489413
21	0.5861021057
22	0.5817634914
23	0.5792115244
24	0.5749199201
25	0.572285009
26	0.5687185138
27	0.565291219
28	0.5616857245
29	0.5587671238
30	0.5552021988
31	0.5536319479
32	0.5506662361
33	0.5471986828
34	0.5441045486
35	0.540767279
36	0.5377733262
37	0.5348388124
38	0.5324366011
39	0.5301523097
40	0.5274754593
41	0.5247451472
42	0.5224474067
43	0.5195100415
44	0.5183295004
45	0.5154837419
46	0.5133986592
47	0.5116871724
48	0.5093187192
49	0.5069017742
50	0.5042187171
51	0.5032050087
52	0.5007233996
53	0.4985197081
54	0.4965001578
55	0.4952066935
56	0.4934066332
57	0.4909940448
58	0.4887183745
59	0.4876777922
60	0.4857843581
61	0.4840011245
62	0.4821394484
63	0.480558804
64	0.4784942938
65	0.476140383
66	0.4747231482
67	0.4735073042
68	0.4715295626
69	0.4698091978
70	0.4682536669
71	0.4668842523
72	0.4656288623
73	0.4649957509
74	0.4639870279
75	0.4621497278
76	0.4609459368
77	0.4597030396
78	0.458230861
79	0.4570759917
80	0.4557170855
81	0.4544157085
82	0.4532027213
83	0.4517500872
84	0.4503304212
85	0.4488615632
86	0.4473660705
87	0.4466836162
88	0.4454215927
89	0.4444766182
90	0.4438825569
91	0.4426783466
92	0.4418106281
93	0.4407285106
94	0.4396668672
95	0.438938372
96	0.4377076826
97	0.4368405924
98	0.4353404005
99	0.4347853541
100	0.4344268711
101	0.4334417842
102	0.4330970419
103	0.4316704731
104	0.4306947623
105	0.4293110924
106	0.4281920101
107	0.4269361972
108	0.4266365451
109	0.4258558925
110	0.4246946597
111	0.423786292
112	0.4231068282
113	0.4222182106
114	0.421497435
115	0.4207863015
116	0.4200394304
117	0.4193320669
118	0.4186250758
119	0.4180624319
120	0.4168982942
121	0.4161401604
122	0.4150905859
123	0.4144700916
124	0.4134733432
125	0.4127186702
126	0.4120319777
127	0.4111725121
128	0.4104120189
129	0.4098385347
130	0.409091177
131	0.4089557476
132	0.408057591
133	0.4071989079
134	0.4066133036
135	0.4056663275
136	0.4049976834
137	0.4048146456
138	0.4041440014
139	0.4037554698
140	0.403387385
141	0.4027836774
142	0.4023172572
143	0.4015736453
144	0.4011362239
145	0.4007155451
146	0.3999736727
147	0.399244397
148	0.3985846867
149	0.3979561662
150	0.3974891458
151	0.396776339
152	0.3959876855
153	0.3955067499
154	0.3948427662
155	0.3939718206
156	0.3933912553
157	0.3928235362
158	0.3925009657
159	0.3922140373
160	0.3916258686
161	0.3911973877
162	0.3907775419
163	0.3902620664
164	0.38986142
165	0.3894808968
166	0.3888811125
167	0.3886461314
168	0.3885449095
169	0.387868554
170	0.3875173882
171	0.3870993104
172	0.3866205279
173	0.3861124251
174	0.3856318325
175	0.3850015758
176	0.3844229367
177	0.3843387145
178	0.3838471774
179	0.3835297403
180	0.3832262175
181	0.382764106
182	0.3823804094
183	0.382071439
184	0.3819976727
185	0.3816255466
186	0.3814511164
187	0.3813767916
188	0.3811796426
189	0.3804929467
190	0.3802005878
191	0.3800210836
192	0.3795747762
193	0.379075771
194	0.3787484559
195	0.3784297829
196	0.3778658784
197	0.3777260802
198	0.3774288081
199	0.3771256284
200	0.3767859757
201	0.3764155547
202	0.3760128667
203	0.3755640179
204	0.3752154627
205	0.3747482918
206	0.3744890625
207	0.3742452848
208	0.3741346713
209	0.3736651922
210	0.3732932228
211	0.3730408723
212	0.3726956865
213	0.3724004102
214	0.3721217818
215	0.3718321052
216	0.3715571832
217	0.371374551
218	0.3709579498
219	0.3704073249
220	0.3703092973
221	0.3699296127
222	0.369704532
223	0.369349542
224	0.3690175797
225	0.3688273728
226	0.3686751408
227	0.3683661327
228	0.3680530055
229	0.367693043
230	0.3676098691
231	0.3675260133
232	0.3672398579
233	0.3669390684
234	0.3668078728
235	0.3665111331
236	0.3662856284
237	0.3660539317
238	0.3659284556
239	0.365717335
240	0.3656888018
241	0.3653878678
242	0.3651649424
243	0.3648973652
244	0.3648123868
245	0.3645830475
246	0.3643369849
247	0.3641519183
248	0.3639366524
249	0.3637017418
250	0.3636745678
251	0.3633230547
252	0.3632439562
253	0.3630021565
254	0.3627073046
255	0.3623490629
256	0.3620772137
257	0.3619626226
258	0.3617230069
259	0.3616328627
260	0.361426039
261	0.3612049599
262	0.361036601
263	0.3605190715
264	0.3602540455
265	0.3601759863
266	0.359961068
267	0.3599198349
268	0.3597508738
269	0.3594559593
270	0.35933092
271	0.3590223692
272	0.3588489048
273	0.3587480092
274	0.3584194004
275	0.3582925405
276	0.358080936
277	0.3578367878
278	0.3576443152
279	0.3575075291
280	0.3573226195
281	0.357141959
282	0.3569496466
283	0.356722256
284	0.356467429
285	0.3561635505
286	0.3559404256
287	0.3558719992
288	0.3557018542
289	0.3554182607
290	0.3552571028
291	0.3550888728
292	0.355045789
293	0.354824446
294	0.3547436951
295	0.3543976875
296	0.3540901792
297	0.3537941187
298	0.3535469579
299	0.3535342164
300	0.3534605224
301	0.3530934038
302	0.352915415
303	0.3527673912
304	0.3525112773
305	0.3522881197
306	0.3522240275
307	0.3520066939
308	0.3518499736
309	0.3515890789
310	0.3514043761
311	0.351217124
312	0.3509193255
313	0.3507429694
314	0.3505410492
315	0.3504827754
316	0.3502948957
317	0.3499528636
318	0.3498247729
319	0.3496588957
320	0.3495007945
321	0.3494124413
322	0.3491687639
323	0.3489428392
324	0.3487928546
325	0.3486498408
326	0.348480669
327	0.3482805958
328	0.3480862273
329	0.3479549705
330	0.3478102263
331	0.3475169508
332	0.3473181216
333	0.3472056978
334	0.3470164445
335	0.3468645996
336	0.3466317931
337	0.3463547506
338	0.346193225
339	0.346144122
340	0.3459072315
341	0.3456809456
342	0.345541098
343	0.3454376148
344	0.3452708892
345	0.3450038914
346	0.3448457973
347	0.3446746039
348	0.3445973987
349	0.3444896235
350	0.3444305955
351	0.3441028982
352	0.3439054101
353	0.3437449866
354	0.3436481084
355	0.3435588113
356	0.3433653581
357	0.3432096824
358	0.3429571198
359	0.3427957317
360	0.3426429663
361	0.342489421
362	0.3423527146
363	0.342182491
364	0.3421523707
365	0.3420897249
366	0.3419864304
367	0.3418435797
368	0.3416710974
369	0.341526176
370	0.3414026153
371	0.3412330357
372	0.3410554966
373	0.340949417
374	0.3408896971
375	0.3406068417
376	0.3405871146
377	0.3404100067
378	0.3403072626
379	0.340100694
380	0.3399696941
381	0.3398412187
382	0.3395748443
383	0.3394749921
384	0.3393011796
385	0.3391412834
386	0.3389601428
387	0.3388794566
388	0.3387448706
389	0.3386515162
390	0.3385180678
391	0.3384344523
392	0.3382882023
393	0.3381711271
394	0.3381380712
395	0.3380185639
396	0.3378822404
397	0.3377594025
398	0.3376107176
399	0.3375020192
400	0.3373361854
401	0.3370857061
402	0.336818796
403	0.336703181
404	0.3365668425
405	0.3363012269
406	0.3361232111
407	0.3359936098
408	0.3357929034
409	0.3357130811
410	0.3355978893
411	0.3355329435
412	0.3353734719
413	0.3352627919
414	0.3351623299
415	0.3350979402
416	0.3349795697
417	0.3347243685
418	0.3344004475
419	0.3343731094
420	0.334254647
421	0.3341328667
422	0.3339684655
423	0.3337363035
424	0.333670076
425	0.3334990524
426	0.3331888928
427	0.332978742
428	0.3327075072
429	0.3326079788
430	0.3323971407
431	0.3322493407
432	0.3319523835
433	0.3317679483
434	0.3316563588
435	0.3315829042
436	0.3314008121
437	0.3311993561
438	0.3311053428
439	0.3309915924
440	0.3309089603
441	0.3306717303
442	0.3305178875
443	0.3304143576
444	0.3302727679
445	0.3302579986
446	0.3301905989
447	0.3300525695
448	0.3299274736
449	0.3298057449
450	0.3297279014
451	0.3296959773
452	0.3295372678
453	0.3293963067
454	0.3292653303
455	0.3292514621
456	0.3291911688
457	0.3291051733
458	0.329018222
459	0.328929111
460	0.3287810452
461	0.3287257475
462	0.3286783906
463	0.3285781651
464	0.3283244316
465	0.3282645069
466	0.3281308991
467	0.3280227414
468	0.3278978846
469	0.3276884269
470	0.3275895347
471	0.3274797006
472	0.327397372
473	0.3272653062
474	0.3271847565
475	0.3270470765
476	0.3269807859
477	0.3268951672
478	0.3267319438
479	0.326629869
480	0.3265922961
481	0.3265251247
482	0.3264848227
483	0.326377709
484	0.3263041327
485	0.3262358599
486	0.3260664317
487	0.3259765738
488	0.3259485439
489	0.3259131941
490	0.3258455688
491	0.3257531783
492	0.3255896408
493	0.3255288458
494	0.3254793543
495	0.3254514244
496	0.3254374585
497	0.3251860559
498	0.3249599388
499	0.3249462249
500	0.324823552
501	0.3247242809
502	0.3246862294
503	0.3245799937
504	0.3243931967
505	0.3243915388
506	0.3242599838
507	0.3241905368
508	0.324017064
509	0.3239834743
510	0.3239032632
511	0.3237165864
512	0.3236346578
513	0.3234786328
514	0.3232942498
515	0.3231916123
516	0.3230420874
517	0.3227643418
518	0.3227146481
519	0.3225977622
520	0.322503026
521	0.3224482616
522	0.3223521148
523	0.3221504584
524	0.322086179
525	0.3220343345
526	0.3219953863
527	0.3218752688
528	0.3217283229
529	0.3216475341
530	0.3215547358
531	0.3214702951
532	0.3213866477
533	0.3212641597
534	0.3211913237
535	0.3211229677
536	0.3208533902
537	0.3207745012
538	0.3207438005
539	0.3206256779
540	0.3205077055
541	0.3203125621
542	0.3201814953
543	0.3200283021
544	0.3199760985
545	0.3198538992
546	0.319834521
547	0.3195842333
548	0.3194677195
549	0.3191685332
550	0.3190886961
551	0.3189309815
552	0.3188023449
553	0.3186255555
554	0.3183866739
555	0.3182451249
556	0.318155216
557	0.3180752318
558	0.3179996751
559	0.3179824187
560	0.3178829015
561	0.3177741557
562	0.3176233847
563	0.3175181246
564	0.3174581495
565	0.3173878894
566	0.317272755
567	0.3172013751
568	0.3170232825
569	0.3168306319
570	0.3165565414
571	0.3164934456
572	0.3163810698
573	0.3162544362
574	0.3160797929
575	0.3158873281
576	0.3158060562
577	0.3157774952
578	0.3156873566
579	0.3156453055
580	0.315587023
581	0.3154636319
582	0.3153237041
583	0.3152402931
584	0.3152396115
585	0.3151783954
586	0.3148361797
587	0.3148225329
588	0.3146174846
589	0.3144904329
590	0.314373734
591	0.3142318353
592	0.314143807
593	0.3140030749
594	0.3139142286
595	0.313810744
596	0.3136849093
597	0.3136187477
598	0.313613448
599	0.3134507848
600	0.3132323405
601	0.3128634237
602	0.3127626858
603	0.312668584
604	0.3124460711
605	0.3123622489
606	0.3122042061
607	0.3121760933
608	0.3121148055
609	0.31199805
610	0.3119211974
611	0.3118228343
612	0.3116345456
613	0.3115111551
614	0.311447225
615	0.3113950588
616	0.3112842478
617	0.3110712815
618	0.3109935765
619	0.3106493966
620	0.3106390148
621	0.3105106148
622	0.3104653591
623	0.3103812658
624	0.3102360355
625	0.3099688648
626	0.3099221341
627	0.309876596
628	0.3097575247
629	0.3096727756
630	0.3095134788
631	0.3093787465
632	0.3092908947
633	0.3091707885
634	0.3089363271
635	0.3088521345
636	0.3086970851
637	0.3085998958
638	0.3085298432
639	0.3084775233
640	0.308426536
641	0.3083843457
642	0.3083743072
643	0.3083080757
644	0.3082627275
645	0.3081566628
646	0.3079521488
647	0.3078967126
648	0.3077868861
649	0.307710334
650	0.3076247851
651	0.3075741633
652	0.3075454408
653	0.3073908263
654	0.3072522936
655	0.3072098717
656	0.3070426794
657	0.3069507234
658	0.3069154461
659	0.3068341888
660	0.3067627434
661	0.3066357121
662	0.3065284039
663	0.306325438
664	0.3062757305
665	0.3061069677
666	0.3060554593
667	0.3059479594
668	0.3057851139
669	0.3057674671
670	0.3055924279
671	0.3055625656
672	0.3054271655
673	0.3053007108
674	0.3051539991
675	0.3050135211
676	0.3049027537
677	0.3048032082
678	0.3047363506
679	0.3046386479
680	0.3045568135
681	0.3043669419
682	0.3042265457
683	0.3040889934
684	0.303998616
685	0.303893572
686	0.3037656841
687	0.3035541324
688	0.3034829202
689	0.3034172119
690	0.3033113283
691	0.3032674745
692	0.3032259177
693	0.3031985166
694	0.303164919
695	0.3030550452
696	0.302982509
697	0.3029137072
698	0.3028097409
699	0.3027290445
700	0.3026733524
701	0.3024308566
702	0.3024159692
703	0.3022600724
704	0.302205615
705	0.3021714607
706	0.3020374224
707	0.3019049654
708	0.3018050051
709	0.3016248472
710	0.3014715692
711	0.3014247649
712	0.3012113003
713	0.3010576993
714	0.3008424766
715	0.3007648414
716	0.300695958
717	0.300592677
718	0.3004721837
719	0.3003789538
720	0.3002605013
721	0.3000998859
722	0.2999749847
723	0.2999507758
724	0.2997739703
725	0.2996167433
726	0.2995592845
727	0.299497486
728	0.2994666129
729	0.2993139332
730	0.2992760652
731	0.2991088516
732	0.2987864207
733	0.2987112345
734	0.2985679435
735	0.2984850295
736	0.2982889585
737	0.2981377945
738	0.2980595302
739	0.2979769787
740	0.2978736949
741	0.297741188
742	0.2976585044
743	0.2976355154
744	0.2975630206
745	0.2974843002
746	0.2974665713
747	0.2973105064
748	0.2972789829
749	0.2972520602
750	0.2971014453
751	0.2969684983
752	0.2969517164
753	0.2967641424
754	0.2966886837
755	0.2966700032
756	0.2965266057
757	0.2964194632
758	0.2961324223
759	0.2960145131
760	0.2959783664
761	0.2958662609
762	0.2957727397
763	0.2956559693
764	0.2955773359
765	0.2954099852
766	0.2953079833
767	0.2951041095
768	0.2950060374
769	0.2949454163
770	0.2946733704
771	0.2946229513
772	0.2945478663
773	0.2944142664
774	0.2942565411
775	0.2941583542
776	0.294082804
777	0.2940063568
778	0.2939169754
779	0.2937300355
780	0.2935897523
781	0.293421499
782	0.2933208668
783	0.2932475751
784	0.293179105
785	0.2930595793
786	0.2929680713
787	0.2928922191
